index,lat,lng,city,country,temp,humidity,cloudiness,windspeed,max_temp
225,-2.5857569330218126,162.2832474726722,buala,sb,87.57,61,100,2.77,87.57
226,17.762885333789242,-78.66538178259442,lucea,jm,78.46,69,20,9.17,78.8
228,78.50743811504645,69.67372201908756,yar-sale,ru,-12.91,100,87,4.14,-12.91
231,-54.600406494839554,129.0861750797265,mount gambier,au,62.6,67,75,12.75,62.6
232,73.9254977690718,91.22097790929155,talnakh,ru,-0.4,84,40,13.42,-0.4
238,47.727286741591854,106.52367460838411,ulaanbaatar,mn,-16.6,68,0,1.72,-18.4
242,49.878985523435546,177.19224575758352,nikolskoye,ru,29.16,79,75,11.18,28.4
245,-45.36700516910032,168.19241522843004,te anau,nz,61.92,80,41,3.87,61.92
246,7.330247808588268,104.52612621253309,ca mau,vn,71.91,89,7,2.86,71.91
248,17.63664225425441,92.69675918625023,pathein,mm,71.31,66,78,13.78,71.31
254,10.267743180399691,-42.37624129189763,cayenne,gf,77.0,88,75,10.29,77.0
255,70.04701651171672,167.84366020746552,pevek,ru,-3.21,92,100,3.27,-3.21
259,-25.86946514404977,-72.50574543713807,taltal,cl,66.94,84,1,2.57,66.94
262,-23.5387694787576,20.292459539596706,aranos,na,70.07,15,0,12.59,70.07
264,68.43491035938183,95.49066563846492,tura,ru,-3.64,95,98,4.45,-3.64
273,49.990179744772576,-60.76551995710885,saint-augustin,ca,25.02,96,100,3.85,25.02
274,-6.60329835374182,36.343168704285546,kibakwe,tz,65.05,97,96,1.3,65.05
275,-4.9401491558352575,155.74025877397355,kieta,pg,83.39,71,100,5.64,83.39
277,-23.591912657850813,-69.4201356060686,antofagasta,cl,70.81,83,75,13.87,72.0
283,-34.02206638738725,80.15814096461656,bambous virieux,mu,75.76,78,40,10.29,77.0
284,-31.854881999519726,143.39996878425399,broken hill,au,78.8,31,0,12.75,78.8
287,66.56481165854564,169.25286693581575,bilibino,ru,-8.63,93,64,2.82,-8.63
289,-13.721322430476619,-80.23750690780948,lima,pe,75.2,83,75,16.11,75.2
290,20.829315295791403,2.096899082079716,tessalit,ml,71.65,10,79,8.34,71.65
292,23.53964958157114,-129.99652320301732,lompoc,us,62.37,72,1,18.34,64.99
293,45.014700831931094,13.666101619574391,rovinj,hr,46.94,93,90,3.36,48.0
294,50.20512945081785,-93.2684862200749,dryden,ca,15.8,92,90,4.7,15.8
299,42.021270396609,42.5255234207938,vani,ge,33.8,80,21,5.82,33.8
300,40.81791388493562,-95.84660610231383,bellevue,us,51.26,54,75,5.82,53.6
305,-25.0957131834338,140.75702539612922,mount isa,au,78.8,88,90,10.29,78.8
306,-26.710607602510706,-61.077561861778634,presidencia roque saenz pena,ar,81.79,46,5,1.28,81.79
309,-74.25934653282165,-166.78022319210513,avarua,ck,80.6,88,98,5.82,77.0
313,0.2810251479720307,7.9470362614012515,port-gentil,ga,78.8,100,20,2.24,78.8
315,-14.283381476340423,43.250641940913425,fomboni,km,81.82,70,50,5.03,81.82
317,48.57050457961165,-63.38838384800769,riviere-au-renard,ca,30.2,92,90,6.93,30.2
318,73.37104169932078,-144.63081440819798,fairbanks,us,-18.65,74,100,4.56,-11.99
319,3.0356444734362924,131.61649403854852,sorong,id,81.82,79,100,0.47,81.82
320,69.34452454612673,103.58210274158631,khatanga,ru,-23.48,99,91,1.68,-23.48
321,-5.424566829168484,-1.5974199644725218,takoradi,gh,76.05,82,57,0.54,76.05
324,51.4876660475189,71.31101070489376,astana,kz,26.6,92,90,38.03,26.6
325,-24.254816500581086,7.0146286452863365,henties bay,na,62.01,89,44,3.0,62.01
326,28.28471068472099,133.2177532050295,naze,jp,70.66,100,90,11.41,71.6
328,37.63002380176968,-126.68878275004,ukiah,us,55.67,54,1,9.17,60.01
331,19.340988477219796,83.13125927276991,rayagada,in,61.02,50,0,2.89,61.02
336,-35.29505707405082,73.07585072813322,mahebourg,mu,75.81,78,40,10.29,77.0
346,56.048379220956974,69.64804443487208,ishim,ru,25.47,97,100,7.76,25.47
347,-12.721433830552769,-73.21932338602221,santa ana,pe,54.79,96,100,0.92,54.79
348,72.63960091531064,14.319831176319184,andenes,no,20.77,62,100,23.04,21.2
350,60.270161926996735,66.02744759222011,lugovoy,ru,17.2,95,100,4.36,17.2
352,-37.39207743685339,135.6470219073434,port lincoln,au,65.84,69,91,8.93,65.84
359,6.909411422002563,-24.745691400709376,sao filipe,cv,73.71,67,0,10.74,73.71
361,-26.424330738837725,-47.999735552023,sao francisco do sul,br,74.16,69,20,4.7,78.8
363,-21.086118008650274,-35.14078777137513,vila velha,br,75.11,88,40,3.36,75.2
367,-11.469287798421291,-90.37907874139633,san cristobal,ec,77.0,94,75,9.17,77.0
369,58.0081998673588,-66.59408125968751,iqaluit,ca,-25.33,60,20,11.41,-25.01
371,-11.477557673713875,40.35922488318596,nanyamba,tz,75.2,94,40,2.57,75.2
375,-23.156773853465793,18.48427835528213,gobabis,na,71.33,34,51,7.25,71.33
377,20.717977713707185,94.50892478913585,chauk,mm,56.14,51,0,1.83,56.14
378,1.052387521975433,132.71402955013565,manokwari,id,79.34,68,100,2.8,79.34
379,35.99451592686137,113.22425628822452,jiaozuo,cn,31.26,71,65,2.04,31.26
382,34.83280177602201,86.21959868952746,jumla,np,20.97,53,8,5.17,20.97
385,29.268353320679495,38.63722006963792,sakakah,sa,37.4,64,0,4.7,37.4
387,50.06694134498315,103.6251784033372,kholtoson,ru,-1.97,82,82,1.97,-1.97
389,57.66632158734228,-2.875785665914691,findochty,gb,32.88,87,59,8.05,36.0
390,63.37645165271414,112.07710885228767,chernyshevskiy,ru,2.26,96,93,5.46,2.26
392,14.603760980169938,47.79368057088624,lahij,ye,73.72,75,54,5.75,73.72
394,-44.48714804829146,176.0585221570533,waipawa,nz,67.93,77,45,26.4,71.01
395,71.0536603682344,-171.67321880604354,lavrentiya,ru,-14.84,86,0,1.14,-14.84
400,59.56133018881428,131.7738183702926,amga,ru,-25.02,98,100,4.61,-25.02
403,-21.47382106231275,34.60044725521831,beira,mz,80.02,83,0,14.05,80.02
410,34.85748669515979,42.903904529195444,bayji,iq,43.25,54,0,4.7,43.25
413,-18.881835619101253,26.464161281493944,hwange,zw,71.08,78,27,3.51,71.08
414,-15.244804106198472,29.341753056050578,chongwe,zm,62.56,82,0,2.55,62.56
415,2.2914272695702635,66.50970972094919,kudahuvadhoo,mv,81.05,72,82,5.12,81.05
418,64.6197871602271,71.84356435213735,nadym,ru,-7.67,99,88,6.53,-7.67
